date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:56:43	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Nov%202012%2018:56:35%20GMT	http://conf.agile-france.org/robots.txt		(from )
19:56:46	22105/22105	---MC-	200	added ('OK')	text/html	date:Sun,%2018%20Nov%202012%2018:56:35%20GMT	http://conf.agile-france.org/	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/index.html	(from )
19:56:47	2302/2302	---M--	200	added ('OK')	text/css	etag:%2212b01e1-8fe-4bc8bd42c6d40%22	http://conf.agile-france.org/wp-content/themes/twentyeleven-agilefrance/style.css	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/wp-content/themes/twentyeleven-agilefrance/style.css	(from )
19:56:48	42/42	---M--	200	added ('OK')	text/plain	date:Sun,%2018%20Nov%202012%2018:56:39%20GMT	http://conf.agile-france.org/xmlrpc.php	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/xmlrpc.php	(from )
19:56:48	764/764	---M--	200	added ('OK')	image/png	etag:%2212b01d9-2fc-4b8fc21316fc0%22	http://conf.agile-france.org/wp-content/themes/twentyeleven-agilefrance/images/favicon.png	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/wp-content/themes/twentyeleven-agilefrance/images/favicon.png	(from )
19:56:50	6044/6044	---MC-	200	added ('OK')	application/javascript	etag:%22e7d0b3caf683820f2a0075a63e45a8c7%22	https://apis.google.com/js/plusone.js	C:/Mes%20Sites%20Web/Agile%20France%202012/apis.google.com/js/plusone.js	(from )
19:56:51	473/473	---M--	200	added ('OK')	application/javascript	etag:%2212b01c1-1d9-4be8f2689abc0%22	http://conf.agile-france.org/wp-content/themes/twentyeleven/js/showcase.js?ver=2011-04-28	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/wp-content/themes/twentyeleven/js/showcasee92a.js	(from )
19:56:53	93889/93889	---M--	200	added ('OK')	application/javascript	etag:%2212b5ca2-16ec1-4be8f183b8fc0%22	http://conf.agile-france.org/wp-includes/js/jquery/jquery.js?ver=1.7.1	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/wp-includes/js/jquery/jquery4735.js	(from )
19:56:53	2455/2455	---M--	200	added ('OK')	text/xml	etag:%2291d6d68a154c20aac84bffe3faf97780%22	http://conf.agile-france.org/?feed=comments-rss2	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/indexa6da.html	(from http://conf.agile-france.org/)
19:56:53	776/776	---M--	200	added ('OK')	text/xml	etag:%2239b7ca436ab902e998af7e6a9f23d070%22	http://conf.agile-france.org/?feed=rss2&page_id=34	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/indexeb40.html	(from http://conf.agile-france.org/)
19:56:53	786/786	---M--	200	added ('OK')	application/javascript	etag:%2212b5c88-312-4be8f1887db00%22	http://conf.agile-france.org/wp-includes/js/comment-reply.js?ver=20090102	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/wp-includes/js/comment-replya6d7.js	(from )
19:56:54	20774/20774	---MC-	200	added ('OK')	text/xml	etag:%2291d6d68a154c20aac84bffe3faf97780%22	http://conf.agile-france.org/?feed=rss2	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/indexd784.html	(from http://conf.agile-france.org/)
19:56:55	864/864	---M--	200	added ('OK')	text/xml	date:Sun,%2018%20Nov%202012%2018:56:46%20GMT	http://conf.agile-france.org/xmlrpc.php?rsd	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/xmlrpc0db0.php	(from )
19:56:55	1053/1053	---M--	200	added ('OK')	application/xml	etag:%2212b5df7-41d-4be8f1671cc40%22	http://conf.agile-france.org/wp-includes/wlwmanifest.xml	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/wp-includes/wlwmanifest.xml	(from )
19:56:57	51053/51053	---M--	200	added ('OK')	image/jpeg	etag:%2212b01dc-c76d-4b87ac1ee8d80%22	http://conf.agile-france.org/wp-content/themes/twentyeleven-agilefrance/images/headers/teamwork.jpg	C:/Mes%20Sites%20Web/Agile%20France%202012/conf.agile-france.org/wp-content/themes/twentyeleven-agilefrance/images/headers/teamwork.jpg	(from )
